latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,bedrooms,beds,baths,month,neighborhood_avgprice,last_review_month,last_review_year,neighgroup_Bronx,neighgroup_Brooklyn,neighgroup_Manhattan,neighgroup_Queens,neighgroup_Staten Island,roomtype_Entire home/apt,roomtype_Hotel room,roomtype_Private room,roomtype_Shared room,license_Exempt,license_Has License,license_No License,ratings_3.0,ratings_4.0,ratings_4.2,ratings_4.4,ratings_4.6,ratings_4.8,ratings_5,ratings_New,ratings_No rating,ratings_less3
40.77328,-73.95003,206.0,30,10,0.24,60,280,3,2,2,1.0,10,183.0,10,2023,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
40.68438,-73.95666,225.0,30,1,0.14,1,154,1,1,1,1.5,6,266.0,6,2023,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
40.6882214,-73.9141898,103.0,30,28,3.84,1,266,28,2,3,1.0,11,122.0,11,2023,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
40.67764152475653,-73.94111200319608,80.0,30,1,0.36,3,361,1,1,1,1.0,10,168.0,10,2023,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
40.69005,-73.92008,35.0,90,1,0.03,589,289,0,1,1,2.0,5,122.0,5,2021,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
40.68834,-73.95842,350.0,30,124,1.87,2,88,15,2,2,1.0,12,266.0,12,2023,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
40.68295,-73.91738,75.0,30,1,0.03,2,178,0,1,2,1.0,7,266.0,7,2021,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
40.68769,-73.91788,77.0,30,248,1.6,1,360,2,1,2,1.0,12,122.0,12,2023,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
40.68278,-73.94362,100.0,30,7,0.36,4,230,3,1,1,1.0,11,266.0,11,2023,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
40.7749268,-73.9481632,119.0,30,2,0.19,256,364,2,0,1,1.0,4,183.0,4,2023,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
40.67985,-73.90589,145.0,30,26,1.38,1,355,12,3,3,1.0,9,266.0,9,2023,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
40.68358,-73.95284,107.0,1,223,3.86,7,169,49,0,2,1.0,12,266.0,12,2023,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
40.68305609999999,-73.92111349999999,49.0,30,1,0.1,2,180,1,1,1,1.0,3,266.0,3,2023,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
40.80007,-73.95926,83.0,30,3,0.12,3,4,2,1,1,1.0,11,242.0,11,2023,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
40.71621,-73.95665,74.0,30,2,0.06,12,299,1,1,1,2.0,5,185.0,5,2023,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
40.695188,-73.8350487,80.0,30,41,2.59,2,64,27,1,2,1.5,12,117.0,12,2023,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
